title,description,url,published_at,source,categories,sentiment,political_orientation
Police Commissioner Jessica Tisch sings praises of NYPD’s gang database that Mamdani is intent on abolishing,Police Commissioner Jessica Tisch touted the NYPD’s gang database as key in combating the rising gang violence in the Bronx — a tool that Democratic frontrunner Zohran Mamdani has vowed to abolish.,https://nypost.com/2025/09/03/us-news/police-commissioner-jessica-tisch-sings-praises-of-nypds-gang-database-that-mamdani-is-intent-on-abolishing/,2025-09-03,New York Post,Civil Policy,Negative,right
Zohran Mamdani’s Democratic Socialists of America say they will expel members who oppose boycotting Israel,The Democratic Socialists of America have adopted extremist positions that include armed struggle against Israel,https://nypost.com/2025/09/05/us-news/zohran-mamdanis-party-threatens-to-expel-members-if-they-back-israel/,2025-09-05,New York Post,Civil Policy,Negative,right
FIFA responds to Zohran Mamdani’s World Cup ticket price demands,FIFA responded to New York mayoral hopeful Zohran Mamdani’s campaign to get soccer’s global governing body to drop its plan for dynamic pricing for next year’s World Cup.,https://nypost.com/2025/09/10/sports/fifa-responds-to-zohran-mamdanis-world-cup-ticket-price-demands/,2025-09-10,New York Post,Civil Policy,Neutral,right
Zohran Mamdani demands FIFA reverse its dynamic pricing for 2026 World Cup,Zohran Mamdani is hoping to score big with New York soccer fans.,https://nypost.com/2025/09/09/sports/zohran-mamdani-demands-fifa-reverse-dynamic-pricing-for-world-cup/,2025-09-10,New York Post,Civil Policy,Neutral,right
Zohran Mamdani unveils controversial plan demanding FIFA reverse dynamic pricing for 2026 World Cup,"Bigger government is his gooooooaaaaaaal! Zohran Mamdani unveiled a controversial petition Wednesday demanding that FIFA end dynamic pricing on World Cup tickets, reinstate a cap on resales and reserve 15% of tickets for local residents at a discount —&nbsp;calling it a big win for working class soccer fans. &#8220;For far too long [FIFA] has looked...",https://nypost.com/2025/09/10/us-news/zohran-mamdani-unveils-controversial-plan-demanding-fifa-reverse-dynamic-pricing-for-2026-world-cup/,2025-09-10,New York Post,Civil Policy,Negative,right
"Mamdani, if Elected Mayor, Pledges to Order N.Y.P.D. to Arrest Netanyahu","Zohran Mamdani expanded on his vow to arrest Prime Minister Benjamin Netanyahu, saying it would show that New York “stands up for international law.” Experts said the move would be impractical and likely illegal.",https://www.nytimes.com/2025/09/12/nyregion/mamdani-arrest-netanyahu-nyc-mayor.html,2025-09-12,The New York Times,Civil Policy,Negative,left
How Mamdani Proposes to Make New York City Safer,Zohran Mamdani wants New York to follow the model of other cities that send mental health teams instead of the police to help people in crisis. But the plan would be expensive.,https://www.nytimes.com/2025/09/15/nyregion/mamdani-public-safety-plan.html,2025-09-15,The New York Times,Civil Policy,Neutral,left
"Forget rent — Zohran Mamdani’s latest fight is with $6,000 tickets for World Cup","“As a lifelong football — sorry, I mean soccer fan, I couldn’t be more excited,” Mamdani said in a social media video, affecting a faux-British accent as he juggled a soccer ball in his dress shoes.",https://fortune.com/2025/09/15/zohran-mamdani-fifa-world-cup-6000-tickets-greed/,2025-09-15,Fortune,Civil Policy,Neutral,center
Zohran Mamdani renews call to hike taxes — even though his new ally in Gov. Hochul has nixed the plan,Mayoral frontrunner Zohran Mamdani continued his crusade to hike taxes on corporations and the uber wealthy — putting him on a collision course with his new Albany ally Gov. Kathy Hochul.,https://nypost.com/2025/09/24/us-news/zohran-mamdani-renews-call-to-hike-taxes-even-though-his-new-ally-in-gov-hochul-has-nixed-the-plan/,2025-09-24,New York Post,Civil Policy,Neutral,right
Zohran Mamdani slams Andrew Cuomo over cuts to rental assistance program: ‘Record of broken promises’,"Mayoral front-runner Zohran Mamdani fired on ex-Gov. Andrew Cuomo&#8217;s &#8220;record of broken promises&#8221; Monday &#8212; zeroing in on his second-place foe after Eric Adams announced he was dropping out of the race. The Democratic nominee was joined by Kasha Phillips-Lewis, a single mother who became homeless after the then-governor slashed funding for the Advantage housing...",https://nypost.com/2025/09/29/us-news/zohran-mamdani-slams-andrew-cuomo-over-cuts-to-rental-assistance-program-record-of-broken-promises/,2025-09-29,New York Post,Civil Policy,Negative,right
