title,description,url,published_at,source,categories,sentiment,political_orientation
Zohran Mamdani bizarrely ghosted by Bronx borough president after campaign announced her endorsement in NYC mayoral race,NYC mayoral frontrunner and unabashed socialist Zohran Mamdani was stood up by Bronx Borough President Vanessa Gibson Tuesday.,https://nypost.com/2025/09/02/us-news/zohran-mamdani-bizarrely-ghosted-by-bronx-borough-president-after-campaign-announced-her-endorsement-in-nyc-mayoral-race/,2025-09-02,New York Post,Controversy,Negative,right
"Mamdani, AOC and other DSA members should leave party: Dem Rep. Tom Suozzi insists","Democratic Socialist of America members who include New York City mayoral front-runner Zohran Mamdani and Congresswoman Alexandria Ocasio-Cortez should leave the Democratic Party and create their own, Rep. Tom Suozzi says.",https://nypost.com/2025/09/02/us-news/mamdani-aoc-and-other-dsa-members-should-leave-party-dem-rep-tom-suozzi-insists/,2025-09-02,New York Post,Controversy,Negative,right
REPORT: Zohran Mamdani’s Mother Revealed To Allegedly Have Deep Ties To Islamic Government,'They are buying somebody who is willing to be bought...',https://dailycaller.com/2025/09/02/zohran-mamdani-mother-mira-nairr-reported-ties-qatar-islamic-government/,2025-09-02,The Daily Caller,Controversy,Negative,right
"AOC takes dig at top Dems Schumer, Jeffries for not endorsing socialist Zohran Mamdani in NYC mayoral race",Rep. Alexandria Ocasio-Cortez took a dig at congressional Democratic minority leaders Chuck Schumer and Hakeem Jeffries -- and other prominent Dems -- for not backing Zohran Mamdani after winning the party's primary for mayor.,https://nypost.com/2025/09/04/us-news/aoc-takes-dig-at-top-dems-schumer-jeffries-for-not-endorsing-socialist-zohran-mamdani-in-nyc-mayoral-race/,2025-09-04,New York Post,Controversy,Negative,right
"Bernie Sanders town hall at Brooklyn College ‘political event’ to boost Mamdani, critics say: ‘Oligarchy my ass’",A former CUNY trustee is blasting Brooklyn College for using its public campus to host what he believes is nothing more than a partisan event to boost socialist Zohran Mamdani’s bid to become NYC mayor.,https://nypost.com/2025/09/06/us-news/bernie-sanders-town-hall-at-brooklyn-college-political-event-to-boost-mamdani-critics-say-oligarchy-my-ass/,2025-09-06,New York Post,Controversy,Negative,right
Mamdani refuses to denounce strict anti-Zionist DSA resolution,"Democratic mayoral nominee Zohran Mamdani refused to denounce a resolution by his comrades at the Democratic Socialists of America&#8217;s to boot members who were not strongly anti-Zionist. Mamdani tiptoed around the hateful resolution at the Labor Day Parade along Fifth Avenue, where he marched alongside Sen. Bernie Sanders (D-Vermont). “My reaction is that the platform,...",https://nypost.com/2025/09/06/us-news/mamdani-refuses-to-denounce-strict-anti-zionist-dsa-rules-slams-trump-at-bernie-sanders-parade/,2025-09-06,New York Post,Controversy,Negative,right
NYC Mayoral Candidate Zohran Mamdani Criticised For Election Campaign Videos Featuring Kids,NYC Mayoral Candidate Zohran Mamdani Criticised For Election Campaign Videos Featuring Kids,https://www.ndtvprofit.com/world/nyc-mayoral-candidate-zohran-mamdani-criticised-for-election-campaign-videos-featuring-kids,2025-09-08,Bloomberg,Controversy,Negative,center
Mumbling Zohran Mamdani serves up word salad instead of straight answers to pressing NYC issues in recent spate of interviews,Zohran Mamdani dodged straightforward questions on pressing issues facing the Big Apple — capping off days of politician speak that insiders argued showed the candidate's shine is wearing off.,https://nypost.com/2025/09/08/us-news/mumbling-zohran-mamdani-serves-up-word-salad-instead-of-straight-answers-to-pressing-nyc-issues-in-recent-spate-of-interviews/,2025-09-09,New York Post,Controversy,Negative,right
9/11 family blasts Zohran Mamdani for associating with terror sympathizer Hasan Piker,"A hero 9/11 family on Tuesday slammed Democratic mayoral nominee Zohran Mamdani for associating with vile left-wing influencer Hasan Piker, who once said ""America deserved"" the Sept. 11, 2001 terror attacks.",https://nypost.com/2025/09/09/us-news/9-11-family-blasts-zohran-mamdani-for-associating-with-terror-sympathizer-hasan-piker/,2025-09-09,New York Post,Controversy,Negative,right
Zohran Mamdani refuses to condemn Hasan Piker over ‘America deserved 9/11’ comment: ‘Cowardly’,"The head of the union representing the FDNY's ambulance workers slammed Democratic mayoral nominee Zohran Mamdani for refusing to condemn a statement from lefty influencer Hasan Piker saying ""America deserved 9/11.""",https://nypost.com/2025/09/10/us-news/zohran-mamdani-refuses-to-condemn-hasan-piker-over-america-deserved-9-11-comment-cowardly/,2025-09-10,New York Post,Controversy,Negative,right
Zohran Mamdani ‘cut and pasted’ same 9/11 anniversary statement for years,"Democratic mayoral nominee Zohran Mamdani is getting scrutinized over his social media posts commemorating the Sept. 11, 2001 terror attacks -- with critics pointing out the messages have been nearly identical for years.",https://nypost.com/2025/09/10/us-news/zohran-mamdani-cut-and-pasted-same-9-11-anniversary-statement-for-years/,2025-09-10,New York Post,Controversy,Negative,right
"Journalist Blasts Zohran Mamdani For Being A Dipset Fan, New Yorkers Rally Behind The Mayoral Candidate","In what is a perfect example of white folks not knowing a thing about Black culture, one journalist thought he got Zohran Mamdani, the favorite to win the New York mayoral election, by exposing his love for The Diplomats, trying to fame the iconic rap stable as a ""pro terrorist"" group, but it has backfired spectacularly.",https://hiphopwired.com/playlist/zohran-mamdani-dipset-juelz-santana-meme-reactions/,2025-09-11,Hip Hop Wired,Controversy,Negative,center
Hochul says Zohran Mamdani should ‘apologize’ to cops for calling NYPD ‘racist’ and a ‘major threat to public safety’,"Hochul is one of several high profile New York Dems – including House Minority Leader Hakeem Jeffries (D-NY), Senate Minority Leader Chuck Schumer (D-NY) and Assembly Speaker Carl Heastie (D-Bronx) – who have yet to endorse the Democratic nominee for mayor.",https://nypost.com/2025/09/12/us-news/hochul-says-zohran-mamdani-should-apologize-to-cops-for-calling-nypd-racist-and-a-major-threat-to-public-safety/,2025-09-12,New York Post,Controversy,Negative,right
Top donors to Mamdani PAC worked for tech firm accused of being national security threat with China ties,Two top donors to the super PAC supporting Zohran Mamdani’s NYC mayoral campaign worked for a tech company with alleged ties to the Chinese Communist Party.,https://nypost.com/2025/09/13/us-news/top-donors-to-mamdani-pac-are-ex-honchos-at-silicon-valley-tech-firm-accused-of-being-national-security-threat/,2025-09-13,New York Post,Controversy,Negative,right
Kathy Hochul is a red-hot hypocrite who won’t support Zohran Mamdani’s tax-hike policies anyway,"Maybe if you say the word ""affordability"" enough, a fairy will emerge with her magic price-slasher to roll back the cost of living to 2007?",https://nypost.com/2025/09/15/opinion/kathy-hochul-is-a-red-hot-hypocrite-over-zohran-mamdani/,2025-09-15,New York Post,Controversy,Negative,right
Andrew Cuomo quips Zohran Mamdani ‘should be arrested’ after socialist said he’d order NYPD to cuff Netanyahu,The ex-governor took a jab at the Democratic Party nominee in defense of Israeli Prime Minister Benjamin Netanyahu.,https://nypost.com/2025/09/16/us-news/andrew-cuomo-quips-zohran-mamdani-should-be-arrested-after-socialist-said-hed-order-nypd-to-cuff-netanyahu/,2025-09-16,New York Post,Controversy,Negative,right
ROSEN: Zohran Mamdani and the ‘democratic socialist’ grift,"The centerpiece of his campaign is to transform NYC - ironically, the financial capital of the world - to a model of 'democratic socialism.'",https://sentinelcolorado.com/opinion/rosen-zohran-mamdani-and-the-democratic-socialist-grift/,2025-09-16,Aurora Sentinel,Controversy,Negative,center
Texas man indicted for threatening NYC mayoral candidate Mamdani,"A Texas man who allegedly made written and phone threats to New York mayoral candidate and state Assembly member Zohran Mamdani has been indicted, the Queens District Attorney announced Thursday.",https://www.upi.com/Top_News/US/2025/09/18/man-indicted-in-Zamdani-threat/5541758232517/,2025-09-18,UPI,Controversy,Negative,center
