title,description,url,published_at,source,categories,sentiment,political_orientation
Ex-NYC mayor endorses Zohran Mamdani for City Hall: ‘He has the right ideas’,"""We need him because in his heart and in his bones he cannot accept a city that prices out the people who built it and keep it running,"" ex-Mayor Bill de Blasio said of Zohran Mamdani.",https://nypost.com/2025/09/02/us-news/ex-nyc-mayor-bill-de-blasio-endorses-zohran-mamdani-for-city-hall/,2025-09-02,New York Post,Endorsements,Positive,right
Ex-Mayor de Blasio touts socialist Mamdani as New York City's answer to Trump policies,"Former New York City Mayor Bill de Blasio endorsed Zohran Mamdani&apos;s mayoral campaign, highlighting his progressive promises, including rent freezes and free childcare.",https://www.foxnews.com/politics/ex-mayor-de-blasio-touts-socialist-mamdani-new-york-citys-answer-trump-policies,2025-09-02,Fox News,Endorsements,Positive,right
Trump Backs Democrat Zohran Mamdani For New York Mayoral Race,Trump Backs Democrat Zohran Mamdani For New York Mayoral Race,https://www.ndtvprofit.com/world/trump-backs-democrat-zohran-mamdani-for-new-york-mayoral-race,2025-09-05,Bloomberg,Endorsements,Positive,center
Mamdani Gets Backing From National Democrats as Trump Enters Fray,"Democrats have been slow to embrace Zohran Mamdani, the democratic socialist who won New York City’s mayoral primary. Many, especially in New York, still are.",https://www.nytimes.com/2025/09/11/us/politics/zohran-mamdani-democrats-endorsements.html,2025-09-11,FiveThirtyEight,Endorsements,Positive,center
"Zohran Mamdani draws praise, FDR comparison from Jamie Raskin as top NY Dems still withhold endorsements in NYC mayoral race",He&#8217;s gaining friends in high places &#8212; to a point. Socialist Zohran Mamdani drew surprising praise this week from prominent national Democrats &#8212; but top New York pols are still silent on whether they will back their party&#8217;s mayoral nominee. Moderate Reps. Pat Ryan (D-NY) and Jamie Raskin (D-Md.) endorsed Mamdani &#8212; with the later...,https://nypost.com/2025/09/11/us-news/zohran-mamdani-draws-praise-from-jamie-raskin-as-top-ny-dems-still-withhold-endorsements-in-nyc-mayoral-race/,2025-09-11,New York Post,Endorsements,Neutral,right
Van Hollen Criticizes Democratic Leaders for Delay in Endorsing Mamdani,"At an annual fund-raiser in Iowa, the Maryland Democrat said he supported Zohran Mamdani for mayor of New York City and said people were sick of “spineless politics.”",https://www.nytimes.com/2025/09/13/us/politics/van-hollen-zohran-mamdani.html,2025-09-13,The New York Times,Endorsements,Positive,left
NY Gov. Kathy Hochul expected to endorse Zohran Mamdani this week: sources,"Gov. Kathy Hochul is expected to endorse lefty Democratic nominee Zohran Mamdani for mayor in the coming days -- after her camp tried to keep the candidate at arm's length through the campaign, insiders told The Post.",https://nypost.com/2025/09/14/us-news/ny-gov-kathy-hochul-expected-to-endorse-zohran-mamdani-this-week-sources/,2025-09-14,New York Post,Endorsements,Neutral,right
Kathy Hochul: Why I Am Endorsing Zohran Mamdani,"I am confident that Zohran Mamdani has the courage, urgency, and optimism New York City needs to lead it through the challenges of this moment.",https://www.nytimes.com/2025/09/14/opinion/hochul-endorsement-mamdani.html,2025-09-14,The New York Times,Endorsements,Positive,left
New York Gov. Kathy Hochul expected to endorse Zohran Mamdani in NYC mayoral race,"By Gloria Pazmino, CNN New York (CNN) &#8212; New York Gov. Kathy Hochul is soon expected to endorse New York City Democratic mayoral nominee Zohran Mamdani, according to two sources with knowledge of her decision. Hochul’s endorsement would make her the latest high-profile Democrat and the most powerful in the state to back the 33-year-oldThe post New York Gov. Kathy Hochul expected to endorse Zohran Mamdani in NYC mayoral race appeared first on KYMA.",https://kyma.com/news/2025/09/14/new-york-gov-kathy-hochul-expected-to-endorse-zohran-mamdani-in-nyc-mayoral-race/,2025-09-14,KYMA,Endorsements,Positive,center
Zohran Mamdani lands key endorsement in New York City mayoral race,"Governor Kathy Hochul backed frontrunner Zohran Mamdani for New York City mayor, who could become the first Muslim and millennial leader of the nation&apos;s largest city.",https://www.foxnews.com/politics/zohran-mamdani-lands-key-endorsement-new-york-city-mayoral-race,2025-09-15,Fox News,Endorsements,Positive,right
