title,description,url,published_at,source,categories,sentiment,political_orientation
Mamdani Reflects on Life After 9/11 as a Muslim in New York City,"Ahead of the 24th anniversary of Sept. 11, Zohran Mamdani, the front-runner to be the city’s next mayor, spoke about the importance of honoring the victims and the persistent Islamophobia the attacks provoked.",https://www.nytimes.com/2025/09/10/nyregion/mamdani-sept-11-muslim.html,2025-09-10,The New York Times,Social Cause,Neutral,left
Suspect in racist threats against Zohran Mamdani busted in Texas on hate charges,"Jeremy Fistel is charged with making terroristic threats, two counts of aggressive harassment as a hate crime, and harassment based on race or religion.",https://nypost.com/2025/09/18/us-news/suspect-in-racist-threats-against-zohran-mamdani-busted-in-texas-on-hate-charges/,2025-09-18,New York Post,Social Cause,Negative,right
Texas Man Indicted For Making Terroristic Threats Against NYC Mayoral Candidate Zohran Mamdani,"Jeremy Fistel is accused of 'leaving a series of increasingly alarming anti-Muslim messages with the office of Assemblyman Zohran Mamdani.""",https://newsone.com/6470439/texas-man-indicted-for-making-terroristic-threats-against-nyc-mayoral-candidate-zohran-mamdani/,2025-09-18,NewsOne,Social Cause,Negative,center
Texas Man Is Charged With Making Threats Against Mamdani,"During a tense time for public officials, Zohran Mamdani, the Democratic mayoral nominee in New York City, received messages calling him a terrorist and telling him he was unwelcome in the U.S.",https://www.nytimes.com/2025/09/18/nyregion/zohran-mamdani-threat-nyc-mayor.html,2025-09-18,The New York Times,Social Cause,Neutral,left
Lawler blasts Mamdani for effort to dismantle definition of anti-Semitism,"WASHINGTON, D.C. – Congressman Mike Lawler (R, NY-17) has ripped New York City mayoral candidate Zohran Mamdani, who this week said he would dismantle the city’s adoption of the International Holocaust Remembrance Alliance (IHRA) working definition of antisemitism. The Republican Lawler and Democratic New Jersey Congressman Josh Gottheimer issued a joint statement about Mamdani’s proposal. [&#8230;]",https://midhudsonnews.com/2025/09/19/lawler-blasts-mamdani-for-effort-to-dismantle-definition-of-anti-semitism/,2025-09-19,Mid Hudson News,Social Cause,Negative,center
Zohran Mamdani refuses to denounce Hamas after Israeli Prime Minister Benjamin Netanyahu vows to eradicate terrorists,Democratic mayoral nominee Zohran Mamdani stopped short of condemning the terrorists after Prime Minister Benjamin Netanyahu used his defiant address to the United Nations General Assembly on Friday to declare that Israel must “finish the job” in its war against Hamas.,https://nypost.com/2025/09/29/us-news/zohran-mamdani-refuses-to-denounce-hamas-after-israels-benjamin-netanyahu-vows-to-eradicate-terrorists/,2025-09-29,New York Post,Social Cause,Neutral,right
Socialist mayoral candidate Zohran Mamdani chased out of NYC park by protester shouting ‘antisemite’,The Democratic socialist was ushered by security into his car as the irate man followed and demanded he denounce Hezbollah and Sharia.,https://nypost.com/2025/10/11/us-news/socialist-mayoral-candidate-zohran-mamdani-chased-out-of-nyc-park-by-protester-shouting-antisemite/,2025-10-11,New York Post,Social Cause,Negative,right
Zohran Mamdani slammed over refusal to condemn Hamas and ‘Globalize the Intifada’ phrase: ‘That is cold’,"Former New York Governor Andrew Cuomo issued a barrage of assaults on Zohran Mamdani about his stance on Israel and Palestine, accusing the Queens lawmaker of refusing to denounce the terror group Hamas.",https://nypost.com/2025/10/16/us-news/zohran-mamdani-slammed-over-refusal-to-condemn-hamas-and-globalize-the-intifada-phrase/,2025-10-16,New York Post,Social Cause,Neutral,right
Pro-Mamdani political action committee linked to terror-boosting group,"A political action committee spending tens of thousands of dollars to boost NYC mayoral frontrunner Zohran Mamdani has ties to a New Jersey-based Palestinian group that hosted a member of a terror organization which was involved in the Oct. 7, 2023 attack on Israel.",https://nypost.com/2025/10/18/us-news/pro-mamdani-political-action-committee-linked-to-terror-boosting-group/,2025-10-18,New York Post,Social Cause,Negative,right
"Mamdani’s Brooklyn imam pal once urged ‘jihad’ on NYC with army of 10,000 men",The terror-linked Brooklyn imam who palled around in a photo opp this week with socialist NYC mayoral candidate Zohran Mamdani once urged “jihad” on the Big Apple.,https://nypost.com/2025/10/18/us-news/mamdanis-brooklyn-imam-pal-once-urged-jihad-on-nyc-with-army-of-10000-men/,2025-10-18,New York Post,Social Cause,Neutral,right
